Date,Open,High,Low,Close,Adj Close,Volume
2008-04-15,230.500000,246.250000,220.100006,243.537506,181.369308,5703772
2008-04-16,246.250000,250.500000,240.500000,242.975006,180.950348,6438768
2008-04-17,249.925003,252.500000,244.887497,250.225006,186.349609,3999556
2008-04-21,252.250000,258.750000,246.649994,248.350006,184.953293,3399296
2008-04-22,246.237503,246.237503,220.500000,221.800003,165.180801,13785196
2008-04-23,221.750000,226.425003,220.012497,222.287506,165.543762,6326156
2008-04-24,226.000000,226.225006,216.000000,222.687500,165.841675,15290096
2008-04-25,228.000000,228.000000,221.250000,222.324997,165.571762,6828568
2008-04-28,202.250000,224.000000,180.000000,220.425003,164.156769,6598136
2008-04-29,220.512497,232.500000,217.537506,227.637497,169.528122,16209848
2008-04-30,229.024994,233.937500,226.625000,230.250000,171.473694,9487980
2008-05-02,231.250000,240.500000,231.000000,235.937500,175.709320,5298780
2008-05-05,236.250000,237.375000,230.287506,231.862503,172.674576,3613764
2008-05-06,227.500000,237.500000,218.149994,234.262497,174.461945,3982796
2008-05-07,237.500000,244.975006,237.500000,241.687500,179.991562,12585540
2008-05-08,241.225006,241.250000,229.500000,236.750000,176.314484,10845832
2008-05-09,239.750000,239.750000,227.500000,229.250000,170.728973,4492296
2008-05-12,229.250000,233.712494,227.574997,231.725006,172.572174,3898508
2008-05-13,232.500000,235.350006,222.250000,226.262497,168.504120,4462876
2008-05-14,226.250000,244.737503,222.787506,242.787506,180.810699,9373188
2008-05-15,243.250000,250.500000,240.024994,246.187500,183.342819,7177896
2008-05-16,248.500000,248.500000,242.125000,245.262497,182.653931,3838648
2008-05-20,243.750000,247.500000,236.812500,239.024994,178.008682,4946904
2008-05-21,232.000000,242.000000,228.750000,241.274994,179.684326,3140184
2008-05-22,239.125000,246.375000,237.750000,240.287506,178.948959,5445200
2008-05-23,243.725006,244.925003,231.524994,233.100006,173.596161,5401384
2008-05-26,230.000000,240.725006,229.000000,238.862503,177.887695,5457272
2008-05-27,245.000000,248.500000,236.500000,242.225006,180.391785,5682072
2008-05-28,242.524994,253.812500,242.524994,252.362503,187.941467,5469588
2008-05-29,252.250000,257.087494,246.000000,248.662506,185.185959,8258940
2008-05-30,247.750000,262.250000,244.500000,259.787506,193.471069,15485284
2008-06-02,253.750000,264.350006,241.250000,245.962494,183.175247,7054764
2008-06-03,240.000000,247.500000,234.537506,243.787506,181.555435,4900256
2008-06-04,247.449997,247.449997,236.587494,239.187500,178.129700,3787856
2008-06-05,241.024994,249.199997,241.000000,245.462494,182.802826,5905256
2008-06-06,247.500000,249.662506,239.449997,241.550003,179.889084,4137784
2008-06-09,225.562500,241.225006,222.500000,228.524994,170.189041,6140140
2008-06-10,227.500000,229.750000,216.750000,219.750000,163.654007,6155372
2008-06-11,222.500000,227.500000,220.000000,222.587494,165.767181,4113368
2008-06-12,223.500000,225.600006,214.250000,222.062500,165.376251,2464004
2008-06-13,220.000000,230.475006,220.000000,227.399994,169.351181,6732432
2008-06-16,229.750000,232.000000,225.812500,227.699997,169.574600,6541784
2008-06-17,226.250000,231.750000,226.250000,230.324997,171.529556,3504824
2008-06-18,230.199997,230.250000,222.750000,225.225006,168.646652,6431336
2008-06-19,220.062500,224.500000,220.000000,222.000000,166.231827,3289068
2008-06-20,224.975006,224.975006,210.387497,215.962494,161.710968,8157760
2008-06-23,215.962494,219.862503,210.750000,214.612503,160.700119,3572312
2008-06-24,212.500000,216.925003,205.850006,211.100006,158.069977,9287176
2008-06-25,210.000000,221.250000,207.824997,219.199997,164.135193,5914196
2008-06-26,221.000000,224.500000,215.100006,220.337494,164.986938,7028316
2008-06-27,220.337494,220.337494,212.787506,216.375000,162.019867,6260948
2008-06-30,217.750000,219.500000,212.500000,214.550003,160.653366,3258044
2008-07-01,216.250000,218.000000,208.762497,211.925003,158.687714,5059616
2008-07-02,212.500000,222.000000,210.000000,219.125000,164.079071,8141112
2008-07-03,220.250000,220.250000,205.137497,214.162506,160.363174,4172528
2008-07-04,217.475006,217.512497,208.875000,211.125000,158.088760,3939584
2008-07-07,211.250000,216.000000,208.000000,213.062500,159.539474,1794132
2008-07-08,207.537506,211.250000,204.500000,207.550003,155.411789,3947624
2008-07-09,212.500000,222.487503,212.500000,219.187500,164.125854,3578548
2008-07-10,217.500000,222.250000,213.087494,217.100006,162.562744,3504368
2008-07-11,229.250000,235.750000,196.350006,199.649994,149.496323,5523784
2008-07-14,200.000000,200.000000,190.250000,191.962494,143.739975,4559896
2008-07-15,191.962494,196.612503,184.287506,187.662506,140.520157,4509844
2008-07-16,188.662506,193.412506,178.975006,182.024994,136.298859,5739900
2008-07-17,183.750000,196.725006,182.512497,195.812500,146.622894,10350716
2008-07-18,195.000000,200.500000,187.250000,198.462494,148.607193,8339496
2008-07-21,199.750000,203.750000,195.750000,203.199997,152.154526,3582068
2008-07-22,204.000000,210.987503,201.512497,207.962494,155.720673,4241164
2008-07-23,207.500000,217.500000,204.725006,215.137497,161.093246,5971420
2008-07-24,218.625000,218.625000,198.087494,200.637497,150.235825,11742336
2008-07-25,199.800003,212.375000,195.500000,199.800003,149.608658,8842536
2008-07-28,200.000000,204.237503,196.250000,201.562500,150.928436,1969372
2008-07-29,201.675003,203.449997,198.000000,202.237503,151.433838,2472192
2008-07-30,211.500000,211.500000,200.000000,209.737503,157.049759,4420076
2008-07-31,210.000000,210.500000,205.375000,208.437500,156.636490,5195580
2008-08-01,206.250000,214.237503,202.812500,210.162506,157.932724,4011724
2008-08-04,203.750000,210.000000,202.750000,203.837494,153.179703,5238928
2008-08-05,203.850006,208.750000,201.312500,207.425003,155.875626,4768200
2008-08-06,209.975006,217.487503,209.100006,215.137497,161.671387,5009932
2008-08-07,214.750000,217.475006,211.250000,213.337494,160.318695,3072320
2008-08-08,211.237503,214.250000,208.350006,211.274994,158.768738,2086672
2008-08-11,213.000000,214.449997,206.125000,208.487503,156.674057,3405100
2008-08-12,208.750000,210.925003,203.750000,204.812500,153.912369,3323504
2008-08-13,200.000000,209.425003,200.000000,207.074997,155.612549,3697968
2008-08-14,207.250000,211.162506,202.750000,208.300003,156.533173,3741508
2008-08-18,210.000000,213.100006,208.750000,210.387497,158.101852,1956648
2008-08-19,211.125000,212.750000,208.774994,210.312500,158.045456,1953300
2008-08-20,210.675003,212.250000,208.750000,210.399994,158.111221,1127256
2008-08-21,209.000000,210.500000,203.800003,204.462494,153.649323,1976516
2008-08-22,204.750000,206.187500,200.875000,204.750000,153.865387,2645284
2008-08-25,206.000000,208.750000,204.000000,204.550003,153.715103,942244
2008-08-26,202.487503,209.237503,202.487503,208.512497,156.692871,2205004
2008-08-27,205.024994,209.000000,203.274994,204.612503,153.762070,2131788
2008-08-28,205.000000,206.062500,195.662506,198.087494,148.858658,6580688
2008-08-29,200.000000,204.987503,200.000000,203.050003,152.587845,1998500
2008-09-01,203.750000,205.000000,201.750000,203.737503,153.104477,1527432
2008-09-02,203.737503,213.250000,203.737503,212.199997,159.463913,2647848
2008-09-04,211.250000,213.699997,208.087494,211.050003,158.599747,2461676
2008-09-05,212.500000,212.500000,206.250000,209.600006,157.510117,2445368
2008-09-08,215.000000,218.600006,210.500000,214.175003,160.948090,5170432
2008-09-09,213.750000,217.925003,210.000000,216.199997,162.469833,2815328
2008-09-10,215.287506,217.550003,212.024994,212.725006,159.858521,3063456
2008-09-11,212.725006,217.000000,207.250000,209.175003,157.190689,1908976
2008-09-12,216.250000,216.250000,200.237503,202.637497,152.277954,3573964
2008-09-15,195.000000,199.750000,186.250000,190.149994,142.893768,8550948
2008-09-16,187.375000,187.750000,181.250000,187.212494,140.686325,5072364
2008-09-17,187.000000,191.162506,182.000000,182.524994,137.163773,4200868
2008-09-18,182.000000,187.250000,167.750000,180.287506,135.482300,6357104
2008-09-19,194.925003,194.925003,182.524994,191.712494,144.068008,9544368
2008-09-22,217.000000,217.000000,188.250000,191.699997,144.058563,4472944
2008-09-23,178.837494,191.925003,178.837494,180.250000,135.454178,2966120
2008-09-24,181.137497,187.000000,172.574997,178.262497,133.960495,7380724
2008-09-25,178.274994,179.962494,167.762497,172.100006,129.329559,15122632
2008-09-26,175.000000,175.000000,166.550003,169.050003,127.037605,4217244
2008-09-29,169.699997,169.699997,153.000000,155.000000,116.479279,5578636
